System,Dataset,Average MAPE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
xz,fannie_mae_500k.tar.csv,0.1867,1.4478,0.185,0.306,0.0237,0.0243,0.0233,0.0242,0.9114
xz,large.tar.csv,0.1214,0.1979,0.0896,0.1457,0.0214,0.0221,0.0208,0.0575,0.4305
xz,misc.tar.csv,0.1505,0.4301,0.0639,0.0891,0.0437,0.0464,0.0422,0.0286,0.2258
xz,silesia.tar.csv,0.214,1.2765,0.1911,0.3163,0.0229,0.0231,0.0236,0.1145,0.9399
xz,uiq-32.bin.csv,0.2821,1.2779,0.2589,0.4111,0.0589,0.0615,0.0696,0.1192,1.1838
xz,uiq2-16.bin.csv,0.242,1.4669,0.2365,0.3706,0.0632,0.0678,0.076,0.0301,1.0598
xz,uiq2-4.bin.csv,0.1997,0.3923,0.126,0.2057,0.0241,0.0248,0.0237,0.1096,0.6062
xz,uiq2-8.bin.csv,0.2083,1.3309,0.1887,0.2894,0.0586,0.0642,0.0688,0.0229,0.803
xz,vmlinux-5.10.tar.csv,0.0834,0.1462,0.0604,0.097,0.0198,0.0204,0.0198,0.0108,0.2821
z3,AUFNIRA_z3.637557.smt2.csv,2.7854,1.6275,1.5215,2.5358,0.0034,0.0037,0.004,0.0038,7.6073
z3,LRA_formula_277.smt2.csv,0.059,0.2774,0.0223,0.0367,0.003,0.0032,0.0032,0.063,0.1099
z3,QF_AUFBV_891_sqlite3.smt2.csv,1.0135,3.4042,1.0904,1.8281,0.0573,0.0541,0.0312,0.0054,5.3698
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.0845,0.642,0.0262,0.0434,0.0038,0.0042,0.0041,0.0735,0.1303
z3,QF_BV_bench_3176.smt2.csv,9.0495,1.5574,2.0462,3.41,0.0088,0.0089,0.0128,0.1065,10.2315
z3,QF_BV_bench_935.smt2.csv,4.7616,2.1975,3.5097,5.8494,0.007,0.0069,0.0184,0.0093,17.5478
z3,QF_LIA_tightrhombus.csv,0.2234,0.6764,0.1463,0.2431,0.0066,0.0078,0.0078,0.0027,0.7261
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.0392,0.7217,0.0109,0.0181,0.0011,0.0012,0.0011,0.0047,0.0541
z3,QF_NRA_hong_9.smt2.csv,0.0436,0.296,0.002,0.0022,0.0021,0.0023,0.0021,0.0079,0.0021
z3,QF_RDL_orb08_888.smt2.csv,0.0363,0.6318,0.0068,0.0103,0.0036,0.0039,0.0038,0.0117,0.0286
z3,QF_UFLIA_xs_23_43.smt2.csv,0.1478,1.1421,0.0734,0.1221,0.0047,0.0054,0.0054,0.02,0.3659
z3,QF_UF_PEQ018_size6.smt2.csv,5.1006,1.597,1.9436,3.2391,0.0048,0.0054,0.0056,0.0179,9.7173
