System,Dataset,Average MAE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
xz,artificl.tar.csv,0.0066,0.1166,0.0063,0.0064,0.0063,0.0067,0.0063,0.432,0.0064
xz,deepfield.tar.csv,1.88,7.7236,1.252,1.972,0.3657,0.385,0.3523,13.2658,5.7308
xz,enwik8.tar.csv,24.7442,98.9319,19.4949,27.4658,8.7824,9.6967,9.8616,1.0798,71.1581
xz,fannie_mae_500k.tar.csv,6.5239,57.1265,6.171,10.1483,0.9599,0.9969,0.9462,0.1129,30.1055
xz,large.tar.csv,0.5435,0.8848,0.3893,0.6296,0.1001,0.1046,0.0977,0.0248,1.8599
xz,misc.tar.csv,0.0595,0.1474,0.0252,0.035,0.0191,0.0207,0.0186,2.9747,0.0874
xz,silesia.tar.csv,15.389,121.7295,12.7199,20.7402,2.5366,2.6085,2.5829,14.0491,61.2955
xz,uiq-32.bin.csv,24.3964,139.9792,19.5037,27.7164,9.9787,10.7124,10.5229,6.8397,72.0909
xz,uiq2-16.bin.csv,11.0027,63.9222,8.7857,12.357,4.718,5.2569,5.177,0.2934,31.998
xz,uiq2-4.bin.csv,1.6045,3.8697,0.9321,1.4876,0.2497,0.2598,0.2506,2.8153,4.3081
xz,uiq2-8.bin.csv,4.2984,22.6799,3.5215,4.7956,1.9639,2.149,2.1525,0.1718,11.8876
xz,vmlinux-5.10.tar.csv,0.6084,1.1069,0.406,0.6453,0.1489,0.1557,0.1504,0.3973,1.8587
z3,AUFNIRA_z3.637557.smt2.csv,33.2135,118.8541,17.6729,29.4509,0.2627,0.2942,0.279,0.0105,88.3607
z3,LRA_formula_277.smt2.csv,0.1711,0.9567,0.064,0.1058,0.0082,0.0089,0.0086,0.531,0.3167
z3,QF_AUFBV_891_sqlite3.smt2.csv,4.948,23.7622,2.1116,3.4502,0.4073,0.4092,0.3734,0.044,10.0088
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.5563,4.8071,0.1912,0.3172,0.0321,0.0357,0.0342,2.1924,0.9517
z3,QF_BV_bench_3176.smt2.csv,96.5664,152.2179,26.4368,44.0476,1.3732,1.4131,1.5542,1.4551,132.2182
z3,QF_BV_bench_935.smt2.csv,24.9343,105.8567,18.6207,31.0086,0.9601,0.9978,1.0468,0.0117,93.0447
z3,QF_LIA_tightrhombus.csv,0.2663,1.4948,0.1183,0.1956,0.0091,0.0102,0.01,0.0113,0.5836
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.5258,10.2198,0.1496,0.2484,0.0153,0.0172,0.0162,0.0471,0.7431
z3,QF_NRA_hong_9.smt2.csv,0.182,1.3526,0.0089,0.0092,0.0089,0.0099,0.0092,0.2329,0.0092
z3,QF_RDL_orb08_888.smt2.csv,0.3545,6.3538,0.0644,0.0956,0.0361,0.0399,0.0378,0.4406,0.2623
z3,QF_UFLIA_xs_23_43.smt2.csv,3.0763,28.2254,1.6249,2.6999,0.147,0.1721,0.1649,0.219,8.0833
z3,QF_UF_PEQ018_size6.smt2.csv,73.4877,156.8445,32.3485,53.9052,0.3183,0.346,0.3354,0.355,161.7096
